psid,pid,study1,dpIssue,dpCondition,newsArticle,collaborationCondition2,pretest1,pretest1ind,collaborationCondition,random,result.score,representativeName,representativeLastName,representativeParty,representativeOppositionParty,representativePartyName,representativeState,representativeDistrict,attack,goodComplete,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98_1,Q99,Q100,Q101,Q102,Q103_1,Q103_2,Q103_3,Q103_4,Q103_5,Q103_6,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121_1,Q122,Q123,Q124,LocationLatitude,LocationLongitude,LocationAccuracy
kpNgzR0iscEcn54LcUT8Ww**,,2,1,1,2,3,2,2,3,4,,,,,,,,,,,2,1,40,1,9,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00990295,-74.00730133,-1
kpNgzR0iscF4ns_nz6qIxg**,,2,2,2,1,2,2,2,2,5,,Edward Pastor,Pastor,D,Republican,Democratic,AZ,7,for being too conservative,1,2,1,11,1,6,6,6,3,3,,,,2,1,97,34,36,98,4,4,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,85041,3234,1,,1,,,41,7,5,3,6,8,4,12,Politicians are always crooked. ,1,1,,1,4,3,3,48,6,6,6,6,4,4,4,7,4,5,1,1,1,,,2,2,2,1,1,,,,1,,,2,88,12,16,16,33.42739868,-112.2037964,-1
kpNgzR0iscEEQtqorOFWxA**,,2,2,1,2,3,1,1,3,4,,Suzan DelBene,DelBene,D,Republican,Democratic,WA,1,for being too conservative,1,2,4,25,2,4,3,4,2,,1,1,,2,1,82,67,72,80,3,3,4,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,98208,0,1,,,1,,52,3,2,2,10,9,2,12,n/a,1,,1,1,3,3,2,50,6,6,6,6,6,6,7,6,7,7,1,1,,1,,2,2,2,1,1,,1,,,,,3,49,11,16,16,48.18530273,-121.6777954,-1
kpNgzR0iscHk50_HpZ7Xlg**,,1,2,2,3,4,1,2,2,3,3,Ken Calvert,Calvert,R,Democrat,Republican,CA,42,for being too conservative,1,2,1,12,1,4,5,2,2,,2,2,,2,1,40,50,51,78,3,3,3,3,3,3,3,1,1,1,1,3.235,3.235,8.894,1,safari,1,1.622,2.716,6.019,2,galaxy,1,1.729,1.729,5.793,1,lactose,1,1,0,0,9.87,0,1,1,,1,1,,,,,With the little information provided I chose the most educated people available.,,2,Because I could only pick three of four people if changed my group or left it alone someone would still be left out.,1,1,,,,,,,,,1,1,92879,5317,1,1,,,,7,50,4,2,3,12,Pretty ambivalent. Overall I am neutral towards most politicians these days.,1,,,,,1,,,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.89990234,-117.4404984,-1
kpNgzR0iscHNR30HzfQRUQ**,,1,2,3,1,3,2,1,2,2,3,Bradley Byrne,Byrne,R,Democrat,Republican,AL,1,for being too conservative,1,1,1,44,1,8,4,1,2,,1,1,,1,1,100,100,0,50,3,1,3,1,3,3,4,1,1,1,1,5.211,6.004,13.518,2,safari,1,2.513,2.513,8.587,1,galaxy,1,1.899,1.899,11.805,1,lactose,1,1,0,0,34.921,0,1,1,1,1,,,,,,A democrat,,2,Get over it,1,1,,,,,,,,,1,1,36526,0,1,1,,,13,,70,3,3,2,13,"Don't know yet, he just got elected",1,,,,,,1,,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70210266,-87.86370087,-1
kpNgzR0iscHECr60a2IDtA**,,2,2,1,2,3,3,2,2,1,,Bill Johnson,Johnson,R,Democrat,Republican,OH,6,for being too conservative,1,1,1,19,1,2,2,2,1,,,,1,1,1,69,59,92,77,4,3,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,43908,117,1,,1,,,80,2,2,1,8,9,1,14,HE SEEMS LIKE  A GREAT GUY,1,,1,1,2,2,2,64,5,7,6,7,6,8,8,5,5,7,1,1,,1,,1,4,4,1,1,,,,,1,,2,79,12,17,17,38.79150391,-82.92169952,-1
kpNgzR0iscFjFr3cOmv7aw**,,2,2,1,1,4,3,1,4,3,,Brian Higgins,Higgins,D,Republican,Democratic,NY,26,for being too conservative,1,2,1,23,1,8,5,4,2,,1,2,,2,4,71,66,61,71,4,4,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14223,1422,1,,,,1,72,3,3,2,8,,3,12,NA,1,,1,1,3,3,3,71,6,6,7,7,6,6,6,6,7,7,1,1,1,,,2,3,2,1,1,,,,,,1,2,72,12,15,16,42.98640442,-78.72789764,-1
kpNgzR0iscHVjKtKGR44eQ**,,2,1,3,1,4,3,2,4,5,,Xavier Becerra,Becerra,D,Republican,Democratic,CA,34,for being too conservative,1,2,3,14,1,4,6,6,1,,,,1,1,1,73,52,79,32,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90057,1550,1,,,,1,65,2,2,2,10,,2,14,he is a great leader and representative,1,1,,1,2,2,2,74,5,5,7,7,7,7,7,7,7,7,1,1,1,,,1,4,2,1,1,,,,,1,,3,59,12,16,17,34.05220032,-118.2436981,-1
kpNgzR0iscHEpuKkgBP0Og**,,2,1,3,3,1,2,2,2,2,,Larry Bucshon,Bucshon,R,Democrat,Republican,IN,8,for being too conservative,1,2,1,50,1,6,7,4,2,,2,2,,2,1,72,62,62,85,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,47803,9695,1,,1,,,39,4,4,3,4,8,4,11,uncertain,1,,1,1,4,4,3,4,6,6,6,6,5,5,4,8,6,5,1,1,,,1,1,2,2,1,1,,,,1,,,3,28,11,15,16,39.47009277,-87.40239716,-1
kpNgzR0iscGFvOKV3OA04w**,,2,2,1,2,3,1,2,1,3,,E. Rigell,Rigell,R,Democrat,Republican,VA,2,for being too conservative,1,2,2,13,1,3,5,4,3,1,,,,2,2,49,1,49,61,5,3,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23666,6210,1,1,,,,33,4,5,3,6,,4,12,Don't know or ever heard of him.,1,1,,1,4,3,4,0,6,6,5,5,5,4,5,7,5,5,1,1,,1,,1,2,1,1,1,,1,,,,,3,51,12,16,16,37.0355072,-76.31939697,-1
