•ÈÀV1,ResponseID
V2,ResponseSet
V3,Name
V4,ExternalDataReference
V5,EmailAddress
V6,IPAddress
V7,Status
V8,StartDate
V9,EndDate
V10,Finished
PID,PID
psid,psid
seanYphParty,seanYphParty
seanYphCondition,seanYphCondition
senator0Name,senator0Name
senator0Party,senator0Party
senator0State,senator0State
senator1Name,senator1Name
senator1Party,senator1Party
senator1State,senator1State
senatorSelection,senatorSelection
senatorName,senatorName
senatorParty,senatorParty
senatorState,senatorState
part1Condition,part1Condition
part1ConditionLabel,part1ConditionLabel
part2Dose,part2Dose
part2party,part2party
repParty,repParty
Q1,"We would like some basic information about you. Remember, you will remain anonymous."
Q2,What is your gender?
Q3,What is your race?
Q4,When it comes to politics do you usually think of yourself as 
Q5,What year were you born?
Q6,Would you describe yourself as
Q7,What is your combined annual household income?
Q8,What is the highest level of education you have completed?
Q9,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or..."
Q10,Do you consider yourself to be closer to the Democratic Party or Republican Party?
Q11,Would you say that you are a..
Q12,Would you say that you are a..
Q13,Study For this study we will need to know your zipcode so that we can lookup recent news on your Sen...
Q14,Zipcode (five digit)
Q15,Instructions  /  /   /  / We have identified one of your senators as Senator ${e://Field/senatorName} and fo...
Q16,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q17,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q18,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q19,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q20,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q21,#newsPage{ /  / padding:10px; / width:580px; / height:350px; / background-color:#fef5d8; / } / #newsHeader{ / color:...
Q22_1_TEXT,"What are your senators‰Ûª names? (It is okay if / you cannot recall your senator's names, just type ""don...-Senator 1"
